"Rank_90","Genus","FIS_90","Cumulative_FIS_percent","Selected_Metabolites_90","Median_Bayesian_pvalue_90_selected_edges","FIS_95","Rank_95","FIS_99","Rank_99","Percentile_Rank_90"
150,"CAG.115",0.6707,81.69,12,0.06437,0.3083,185,0,120,47.9
151,"Merdisoma",0.6702,81.96,13,0.07547,0.3083,185,0,120,47.55
152,"UBA4372",0.6676,82.23,12,0.07214,0.3338,182,0,120,47.2
153,"MWCK01",0.6554,82.49,11,0.06215,0.5686,144,0,120,46.85
154,"Anaerostipes",0.6529,82.75,12,0.05216,0.7237,126,0,120,46.5
155,"Pelethocola",0.6509,83.02,12,0.05549,0.6012,141,0.25,115,46.15
156,"Amedibacterium",0.6474,83.28,12,0.07325,0.4214,166,0.25,115,45.8
157,"Alloprevotella",0.6431,83.53,12,0.05993,0.4818,156,0,120,45.45
158,"Eggerthella",0.6418,83.79,11,0.05327,0.4929,154,0,120,45.1
159,"Parvimonas",0.6349,84.05,12,0.0677,0.3269,183,0,120,44.76
160,"Alistipes_A",0.6092,84.29,11,0.05327,0.6167,138,0,120,44.41
161,"Stercorousia",0.6074,84.54,11,0.06659,0.4698,157,0,120,44.06
162,"Cloacibacillus",0.6012,84.78,11,0.05549,0.8012,110,0,120,43.71
163,"CAG.873",0.5936,85.02,11,0.09323,0.4588,158,0.5,86,43.36
164,"Butyrivibrio_A",0.5917,85.25,12,0.0677,0.2338,207,0,120,43.01
165,"UBA11774",0.589,85.49,11,0.07325,0.3679,175,0,120,42.66
166,"Chitinophaga",0.5887,85.73,11,0.05771,0.1818,220,0,120,42.31
167,"Sutterella",0.5833,85.96,11,0.07769,0.2429,202,0,120,41.96
168,"CAG.269",0.5819,86.19,11,0.07325,0.5218,150,0,120,41.61
169,"Roseburia",0.5742,86.42,11,0.04884,0.652,136,0.5,86,41.26
170,"Holdemania",0.5677,86.65,10,0.04551,0.6491,137,0,120,40.91
171,"Lawsonibacter",0.5621,86.88,10,0.06215,0.2381,205,0,120,40.56
172,"UMGS1975",0.5612,87.1,10,0.05771,0.225,209,0,120,40.21
173,"Zag111",0.5593,87.33,11,0.07325,0.438,161,0,120,39.86
174,"Dorea_A",0.5532,87.55,11,0.03774,0.7651,120,0,120,39.51
175,"CAZU01",0.5526,87.77,10,0.04883,0.5699,143,0,120,39.16
176,"UMGS856",0.5476,87.99,10,0.07214,0.2429,202,0.5,86,38.81
177,"Copromorpha",0.5458,88.21,10,0.02664,0.883,102,1.3333,47,38.46
178,"Ruminiclostridium_E",0.5439,88.43,10,0.05438,0.2603,197,0,120,38.11
179,"Streptomyces",0.5336,88.64,11,0.06437,0.3409,181,0.3333,108,37.76
180,"Gemella",0.5326,88.86,10,0.06659,0.354,179,0.75,75,37.41
181,"Turicibacter",0.5305,89.07,9,0.05549,0.379,173,0,120,37.06
182,"Faecalibacillus",0.5182,89.28,10,0.07214,0.3789,174,0,120,36.71
183,"ER4",0.5145,89.49,10,0.07214,0.25,199,0,120,36.36
184,"Alistipes",0.5057,89.69,9,0.07547,0.1909,217,0,120,36.01
185,"UMGS1370",0.5001,89.89,9,0.06881,0.254,198,0,120,35.66
